,rating,genre,star,budget,runtime,star_net_worth
0,R,Drama,Jack Nicholson,19000000.0,146.0,400000000.0
17,R,Adventure,Brooke Shields,4500000.0,104.0,40000000.0
34,PG,Action,Mark Hamill,18000000.0,124.0,18000000.0
44,PG,Comedy,Robert Hays,3500000.0,88.0,3000000.0
54,R,Comedy,Chevy Chase,6000000.0,98.0,50000000.0
62,R,Horror,Betsy Palmer,550000.0,95.0,
152,R,Action,John Belushi,27000000.0,133.0,2000000.0
160,R,Biography,Robert De Niro,18000000.0,129.0,500000000.0
173,PG,Action,Gene Hackman,54000000.0,127.0,80000000.0
183,R,Biography,David Carradine,10000000.0,100.0,500000.0
192,PG,Action,Clint Eastwood,15000000.0,116.0,375000000.0
201,PG,Adventure,N!xau,5000000.0,109.0,
215,PG,Adventure,Robin Williams,20000000.0,114.0,50000000.0
225,R,Drama,Donald Sutherland,6000000.0,124.0,60000000.0
284,R,Crime,Michael Caine,6500000.0,104.0,75000000.0
318,PG,Drama,Christopher Reeve,5100000.0,103.0,3000000.0
512,PG,Comedy,Jane Fonda,10000000.0,109.0,200000000.0
524,R,Horror,Adrienne Barbeau,1000000.0,89.0,5000000.0
653,R,Crime,Al Pacino,11000000.0,102.0,120000000.0
663,R,Adventure,Kris Kristofferson,44000000.0,219.0,160000000.0
706,PG,Action,Kirk Douglas,12000000.0,103.0,60000000.0
723,PG,Fantasy,Olivia Newton-John,20000000.0,96.0,40000000.0
809,R,Crime,Robert Redford,9000000.0,131.0,200000000.0
819,R,Crime,Richard Gere,4800000.0,117.0,120000000.0
1036,PG,Drama,Scott Glenn,5100000.0,97.0,4000000.0
1053,R,Comedy,Goldie Hawn,10000000.0,109.0,90000000.0
1077,R,Comedy,Tony Danza,4000000.0,91.0,40000000.0
1086,R,Comedy,Rory Calhoun,3000000.0,101.0,
1168,R,Action,Peter O'Toole,3500000.0,131.0,50000000.0
1483,R,Action,Michael Caine,22000000.0,109.0,75000000.0
1741,PG,Action,Don Adams,15000000.0,94.0,15000000.0
1751,PG,Comedy,Woody Allen,10000000.0,89.0,140000000.0
1758,R,Comedy,Paul Le Mat,7000000.0,95.0,10000000.0
1766,PG,Action,Clint Eastwood,6500000.0,116.0,375000000.0
1777,PG,Action,Paul Newman,20000000.0,121.0,80000000.0
1787,PG,Comedy,Chevy Chase,6000000.0,103.0,50000000.0
1795,R,Action,Chuck Norris,4000000.0,103.0,70000000.0
2276,G,Adventure,Elliott Gould,6000000.0,97.0,20000000.0
2304,R,Comedy,Michael Ontkean,5500000.0,115.0,
2312,R,Drama,Paul Michael Glaser,5100000.0,94.0,4000000.0
2620,R,Comedy,David Naughton,10000000.0,97.0,4000000.0
2634,R,Action,Kurt Russell,6000000.0,99.0,100000000.0
2646,NC-17,Horror,Bruce Campbell,350000.0,85.0,10000000.0
2653,R,Comedy,Dan Monahan,2500000.0,94.0,
2660,R,Crime,John Travolta,18000000.0,108.0,250000000.0
2699,PG,Action,Laurence Olivier,15000000.0,118.0,20000000.0
2755,R,Adventure,Nigel Terry,11000000.0,140.0,
2801,R,Comedy,Bill Murray,10000000.0,106.0,180000000.0
3114,PG,Action,Burt Reynolds,18000000.0,95.0,3000000.0
3130,R,Action,James Caan,5500000.0,123.0,20000000.0
3416,PG,Adventure,Sean Connery,5000000.0,110.0,350000000.0
3453,R,Horror,Betsy Palmer,1250000.0,87.0,
3475,PG,Action,Roger Moore,28000000.0,127.0,110000000.0
3490,R,Horror,Jamie Lee Curtis,2500000.0,92.0,60000000.0
3524,PG,Drama,George C. Scott,14000000.0,126.0,25000000.0
3582,PG,Biography,Warren Beatty,32000000.0,195.0,70000000.0
3645,G,Animation,Mickey Rooney,12000000.0,83.0,20000.0
3658,PG,Biography,Ben Cross,5500000.0,125.0,4000000.0
3666,PG,Drama,Paul Newman,12000000.0,116.0,80000000.0
3674,Approved,Adventure,Bo Derek,6500000.0,115.0,40000000.0
3691,PG,Drama,Michael Caine,10000000.0,116.0,75000000.0
3799,PG,Comedy,Dudley Moore,7000000.0,97.0,25000000.0
3889,R,Comedy,Mel Brooks,11000000.0,92.0,100000000.0
3895,R,Horror,Dee Wallace,1000000.0,91.0,500000.0
3940,PG,Action,Peter MacNicol,18000000.0,109.0,5000000.0
3954,R,Crime,Jeff Bridges,3000000.0,109.0,100000000.0
3962,R,Adventure,Everett McGill,12500000.0,100.0,
3971,R,Horror,Sam Neill,5000000.0,108.0,18000000.0
3979,R,Biography,Faye Dunaway,5000000.0,129.0,40000000.0
3998,R,Comedy,Sylvia Kristel,2800000.0,87.0,
4059,R,Crime,Jack Nicholson,12000000.0,122.0,400000000.0
4093,R,Horror,Maren Jensen,2500000.0,100.0,
4103,R,Crime,William Hurt,8500000.0,103.0,18000000.0
4174,R,Action,Sean Connery,16000000.0,109.0,350000000.0
4190,R,Comedy,Julie Andrews,12000000.0,122.0,30000000.0
4201,R,Horror,Catriona MacColl,400000.0,87.0,
4366,R,Drama,Frederic Forrest,26000000.0,107.0,
4397,R,Crime,Robert De Niro,10000000.0,108.0,500000000.0
4438,R,Action,Sylvester Stallone,5000000.0,99.0,400000000.0
4530,R,Comedy,John Belushi,8500000.0,94.0,2000000.0
5108,R,Horror,Albert Finney,17000000.0,115.0,10000000.0
5148,R,Crime,Treat Williams,8600000.0,167.0,10000000.0
5551,R,Horror,Lauren Tewes,800000.0,84.0,2000000.0
5569,PG,Comedy,Chevy Chase,20000000.0,98.0,50000000.0
5607,PG,Comedy,George Segal,6000000.0,92.0,10000000.0
5801,PG,Comedy,Chevy Chase,8000000.0,93.0,50000000.0
5822,R,Drama,Steve Martin,22000000.0,108.0,140000000.0
5839,PG,Action,Klinton Spilsbury,18000000.0,98.0,
5856,PG,Adventure,Lesley-Anne Down,14000000.0,118.0,10000000.0
5966,R,Drama,Daniel Valdez,2700000.0,103.0,
5999,R,Comedy,Jack Lemmon,10000000.0,96.0,25000000.0
6007,R,Comedy,Richard Pryor,11000000.0,94.0,40000000.0
6091,PG,Comedy,Andy Kaufman,12000000.0,78.0,3000000.0
6152,PG,Comedy,Robert Hays,3500000.0,100.0,3000000.0
6179,R,Comedy,Richard Dreyfuss,13000000.0,119.0,5000000.0
6197,PG,Drama,Laurence Olivier,46000000.0,140.0,20000000.0
6207,R,Comedy,Gene Hackman,14000000.0,87.0,80000000.0
6299,PG,Adventure,Robert Duvall,12000000.0,100.0,70000000.0
6309,R,Drama,Jane Fonda,16000000.0,116.0,200000000.0
6343,PG,Action,David Rasche,24000000.0,107.0,3000000.0
6377,PG,Action,Harry Hamlin,2000000.0,90.0,10000000.0
6414,R,Horror,Neve Campbell,14000000.0,111.0,10000000.0
6532,R,Comedy,Sean Penn,4500000.0,90.0,70000000.0
6541,R,Action,Harrison Ford,28000000.0,117.0,300000000.0
6562,R,Horror,Kurt Russell,15000000.0,109.0,100000000.0
6714,R,Action,Arnold Schwarzenegger,20000000.0,129.0,400000000.0
6754,PG,Family,Henry Thomas,10500000.0,115.0,1500000.0
6762,R,Action,Sylvester Stallone,15000000.0,93.0,400000000.0
6797,R,Drama,Richard Gere,7500000.0,124.0,120000000.0
6816,PG,Comedy,Michelle Pfeiffer,13200000.0,115.0,250000000.0
6830,PG,Comedy,Aileen Quinn,50000000.0,127.0,500000.0
6958,PG,Horror,JoBeth Williams,10700000.0,114.0,50000000.0
7000,R,Action,Nick Nolte,12000000.0,96.0,75000000.0
7761,R,Drama,Meryl Streep,12000000.0,150.0,160000000.0
7769,PG,Biography,Ben Kingsley,22000000.0,191.0,60000000.0
7784,PG,Comedy,Dustin Hoffman,21000000.0,116.0,100000000.0
7797,PG,Action,Jeff Bridges,17000000.0,96.0,100000000.0
7805,G,Animation,Elizabeth Hartman,7000000.0,82.0,
7815,PG,Comedy,Robert De Niro,20000000.0,109.0,500000000.0
7824,PG,Drama,Sylvester Stallone,17000000.0,99.0,400000000.0
7832,PG,Action,Marc Singer,8000000.0,118.0,5000000.0
7840,R,Comedy,Hal Holbrook,8000000.0,120.0,5000000.0
7865,PG,Adventure,Kirk Douglas,3500000.0,102.0,60000000.0
7874,R,Drama,Bob Geldof,12000000.0,95.0,150000000.0
7883,R,Fantasy,Nastassja Kinski,18000000.0,118.0,20000000.0
7908,R,Drama,Bertil Guve,6000000.0,188.0,
7918,R,Horror,Dana Kimmell,2300000.0,95.0,
7928,PG,Action,Clint Eastwood,18000000.0,136.0,375000000.0
7937,R,Horror,Tom Atkins,2500000.0,98.0,500000.0
7945,PG,Adventure,Jim Henson,15000000.0,93.0,100000000.0
7953,R,Drama,Paul Newman,16000000.0,129.0,80000000.0
8031,Not Rated,Horror,Christopher George,300000.0,85.0,
8345,R,Comedy,Robin Williams,17000000.0,136.0,50000000.0
8354,R,Comedy,Steve Guttenberg,5000000.0,110.0,14000000.0
8386,R,Comedy,Burt Reynolds,35000000.0,114.0,3000000.0
8402,PG,Drama,Mel Gibson,13000000.0,115.0,425000000.0
8748,G,Animation,Jeff Bridges,3500000.0,92.0,100000000.0
8756,R,Drama,Barbara Hershey,9000000.0,125.0,12000000.0
8810,PG,Comedy,Richard Pryor,17000000.0,102.0,40000000.0
8839,R,Horror,Kate McNeil,425000.0,91.0,
8847,PG,Crime,Peter Ustinov,10000000.0,117.0,
8867,R,Action,Charles Bronson,2000000.0,89.0,65000000.0
8876,R,Action,Chuck Norris,4500000.0,103.0,70000000.0
8885,PG,Action,Barry Bostwick,20000000.0,99.0,3000000.0
