,title,rating,genre,score,star,budget,runtime,star_net_worth,movie_star_rating
44,Airplane!,PG,Comedy,7.7,Robert Hays,3500000,88,3000000,D
152,The Blues Brothers,R,Action,7.9,John Belushi,27000000,133,2000000,D
183,The Long Riders,R,Biography,7,David Carradine,10000000,100,500000,D
318,Somewhere in Time,PG,Drama,7.2,Christopher Reeve,5100000,103,3000000,D
524,The Fog,R,Horror,6.8,Adrienne Barbeau,1000000,89,5000000,D
1036,Cattle Annie and Little Britches,PG,Drama,6.1,Scott Glenn,5100000,97,4000000,D
1758,Melvin and Howard,R,Comedy,6.8,Paul Le Mat,7000000,95,10000000,D
2312,Phobia,R,Drama,4,Paul Michael Glaser,5100000,94,4000000,D
2620,An American Werewolf in London,R,Comedy,7.5,David Naughton,10000000,97,4000000,D
2646,The Evil Dead,NC-17,Horror,7.5,Bruce Campbell,350000,85,10000000,D
3114,The Cannonball Run,PG,Action,6.2,Burt Reynolds,18000000,95,3000000,D
3645,The Fox and the Hound,G,Animation,7.3,Mickey Rooney,12000000,83,20000,D
3658,Chariots of Fire,PG,Biography,7.2,Ben Cross,5500000,125,4000000,D
3895,The Howling,R,Horror,6.6,Dee Wallace,1000000,91,500000,D
3940,Dragonslayer,PG,Action,6.7,Peter MacNicol,18000000,109,5000000,D
4530,Neighbors,R,Comedy,5.6,John Belushi,8500000,94,2000000,D
5108,Wolfen,R,Horror,6.3,Albert Finney,17000000,115,10000000,D
5148,Prince of the City,R,Crime,7.5,Treat Williams,8600000,167,10000000,D
5551,Eyes of a Stranger,R,Horror,6,Lauren Tewes,800000,84,2000000,D
5607,Carbon Copy,PG,Comedy,5.6,George Segal,6000000,92,10000000,D
5856,Sphinx,PG,Adventure,5.2,Lesley-Anne Down,14000000,118,10000000,D
6091,Heartbeeps,PG,Comedy,4.3,Andy Kaufman,12000000,78,3000000,D
6152,Take This Job and Shove It,PG,Comedy,5,Robert Hays,3500000,100,3000000,D
6179,Whose Life Is It Anyway?,R,Comedy,7.3,Richard Dreyfuss,13000000,119,5000000,D
6343,Honky Tonk Freeway,PG,Action,5.2,David Rasche,24000000,107,3000000,D
6377,King of the Mountain,PG,Action,5.5,Harry Hamlin,2000000,90,10000000,D
6414,Scream,R,Horror,7.3,Neve Campbell,14000000,111,10000000,D
6754,E.T. the Extra-Terrestrial,PG,Family,7.8,Henry Thomas,10500000,115,1500000,D
6830,Annie,PG,Comedy,6.6,Aileen Quinn,50000000,127,500000,D
7832,The Beastmaster,PG,Action,6.2,Marc Singer,8000000,118,5000000,D
7840,Creepshow,R,Comedy,6.9,Hal Holbrook,8000000,120,5000000,D
7937,Halloween III: Season of the Witch,R,Horror,5,Tom Atkins,2500000,98,500000,D
8386,The Best Little Whorehouse in Texas,R,Comedy,6,Burt Reynolds,35000000,114,3000000,D
8756,The Entity,R,Drama,6.7,Barbara Hershey,9000000,125,12000000,D
8885,Megaforce,PG,Action,3.7,Barry Bostwick,20000000,99,3000000,D
9684,The Final Option,R,Action,6.4,Lewis Collins,6000000,125,5000000,D
9691,Trail of the Pink Panther,PG,Comedy,5,Peter Sellers,6000000,96,10000000,D
9844,Best Friends,PG,Comedy,5.5,Burt Reynolds,15000000,116,3000000,D
10053,Shoot the Moon,R,Drama,6.9,Albert Finney,12000000,124,10000000,D
10412,The Soldier,R,Action,5.3,Ken Wahl,4000000,96,500000,D
11353,The Outsiders,PG,Crime,7.1,C. Thomas Howell,10000000,91,4000000,D
11515,Superman III,PG,Action,5,Christopher Reeve,39000000,125,3000000,D
11525,The Big Chill,R,Comedy,7.2,Tom Berenger,8000000,105,8000000,D
11614,Flashdance,R,Drama,6.2,Jennifer Beals,4000000,95,8000000,D
11635,The Right Stuff,PG,Adventure,7.8,Sam Shepard,27000000,193,10000000,D
11803,Videodrome,R,Horror,7.2,James Woods,5952000,87,10000000,D
11842,A Christmas Story,PG,Comedy,7.9,Peter Billingsley,3300000,93,12000000,D
11880,Cujo,R,Horror,6.1,Dee Wallace,5000000,93,500000,D
12328,The Keep,R,Drama,5.7,Scott Glenn,11000000,96,4000000,D
12456,The Meaning of Life,R,Comedy,7.5,John Cleese,9000000,107,10000000,D
13641,Spacehunter: Adventures in the Forbidden Zone,PG,Action,5.5,Peter Strauss,14400000,90,5000000,D
13700,Hercules,PG,Adventure,4,Lou Ferrigno,2500000,98,12000000,D
14074,Revenge of the Ninja,R,Action,6.1,Shô Kosugi,700000,90,6000000,D
14276,Of Unknown Origin,R,Horror,6.1,Peter Weller,4000000,88,8000000,D
14292,D.C. Cab,R,Action,5.5,Max Gail,8000000,100,6000000,D
14300,The Survivors,R,Comedy,5.8,Walter Matthau,12000000,103,10000000,D
14423,The Man Who Loved Women,R,Comedy,5.3,Burt Reynolds,19000000,110,3000000,D
14983,Running Brave,PG,Biography,6.7,Robby Benson,8000000,106,2000000,D
15256,Trenchcoat,PG,Comedy,5.3,Margot Kidder,5000000,91,300000,D
15531,Dune,PG-13,Action,6.5,Kyle MacLachlan,40000000,137,3000000,D
15614,The Karate Kid,PG,Action,7.3,Ralph Macchio,8000000,126,4000000,D
15718,A Nightmare on Elm Street,R,Horror,7.5,Heather Langenkamp,1800000,91,1500000,D
15766,Amadeus,PG,Biography,8.3,F. Murray Abraham,18000000,160,10000000,D
15864,The NeverEnding Story,PG,Adventure,7.4,Noah Hathaway,27000000,102,2000000,D
15920,Revenge of the Nerds,R,Comedy,6.6,Robert Carradine,8000000,90,300000,D
15944,Gremlins,PG,Comedy,7.3,Zach Galligan,11000000,106,500000,D
15963,Streets of Fire,PG,Action,6.7,Michael Paré,14500000,93,2000000,D
15979,Sixteen Candles,PG,Comedy,7,Molly Ringwald,6500000,93,11000000,D
